CustomerID,Gender,Married,Age,Graduated,Profession,WorkExperience,SpendingScore,FamilySize,VehicleModel,VehicleType
458989,Female,1,36,1,Engineer,0,Low,1,Casper,Compact
458994,Male,1,37,1,Healthcare,8,Average,4,Santape,Midsize
458996,Female,1,69,0,Engineer,0,Low,1,Santape,Midsize
459000,Male,1,59,0,Executive,11,High,2,Grandeur,Large
459001,Female,0,19,0,Marketing,1,Low,4,Casper,Compact
459003,Male,1,47,1,Doctor,0,High,5,Grandeur,Large
459005,Male,1,61,1,Doctor,5,Low,3,Grandeur,Large
459008,Female,1,47,1,Artist,1,Average,3,Santape,Midsize
459013,Male,1,50,1,Artist,2,Average,4,Grandeur,Large
459014,Male,0,19,0,Healthcare,0,Low,4,Casper,Compact
459015,Male,0,22,0,Healthcare,0,Low,3,Santape,Midsize
459016,Female,0,22,0,Healthcare,0,Low,6,Casper,Compact
459024,Male,1,50,1,Artist,1,Average,5,Palisade,Large
459026,Male,0,27,0,Healthcare,8,Low,3,Santape,Midsize
459032,Male,0,18,0,Doctor,0,Low,3,Casper,Compact
459033,Female,1,61,1,Artist,0,Low,1,Santape,Midsize
459036,Female,1,20,1,Lawyer,1,Average,3,Casper,Compact
459039,Male,1,45,1,Artist,1,Average,2,Grandeur,Large
459041,Male,1,55,1,Artist,8,Low,1,Grandeur,Large
459045,Female,1,88,1,Lawyer,1,Average,4,Santape,Midsize
459056,Male,1,63,0,Executive,,High,3,Grandeur,Large
459057,Male,1,69,0,Lawyer,,High,3,Palisade,Large
459058,Male,0,42,1,Artist,0,Low,4,Palisade,Large
459059,Male,1,79,0,Executive,,High,2,Grandeur,Large
459061,Female,1,35,1,Healthcare,9,High,3,i10,Compact
459064,Male,1,27,0,Executive,5,High,4,Santape,Midsize
459065,Male,1,52,1,Engineer,,Low,2,Palisade,Large
459074,Female,0,29,1,Healthcare,0,Low,4,Casper,Compact
459077,Female,1,79,0,Lawyer,1,High,2,Santape,Midsize
459079,Male,1,87,1,Lawyer,,High,2,Grandeur,Large
459080,Male,1,89,0,Lawyer,1,Low,2,Grandeur,Large
459083,Male,1,63,1,Artist,9,Average,3,Palisade,Large
459090,Male,0,31,0,Artist,1,Low,2,Santape,Midsize
459091,Male,1,72,1,Artist,1,Average,6,Grandeur,Large
459093,Female,1,41,1,Doctor,9,Average,2,Santape,Midsize
459100,Female,0,61,1,Artist,11,Low,1,Santape,Midsize
459106,Male,1,62,1,Artist,0,Low,2,Grandeur,Large
459114,Male,1,56,1,Artist,1,Average,2,Grandeur,Large
459116,Male,1,60,1,Artist,2,Average,5,Grandeur,Large
459117,Male,1,68,1,Artist,0,High,2,Palisade,Large
459118,Male,0,19,0,Healthcare,1,Low,8,Casper,Compact
459119,Male,1,57,1,Executive,8,High,3,Palisade,Large
459120,Male,0,19,0,Healthcare,5,Low,5,Casper,Compact
459121,Female,1,51,1,Artist,3,Average,6,Santape,Midsize
459123,Female,1,86,0,Artist,1,High,2,Santape,Midsize
459130,Female,1,74,0,Lawyer,1,High,2,Santape,Midsize
459132,Male,0,23,0,Entertainment,6,Low,2,Santape,Midsize
459136,Male,1,47,1,Artist,0,Average,2,Grandeur,Large
459140,Female,0,19,0,Healthcare,7,Low,6,Casper,Compact
459143,Male,1,50,0,Artist,0,High,4,Grandeur,Large
459144,Male,1,80,1,Lawyer,,High,2,Palisade,Large
459145,Male,1,78,0,Lawyer,,Low,1,Grandeur,Large
459150,Female,0,48,1,Doctor,0,Low,1,Santape,Midsize
459160,Male,1,70,1,Doctor,1,Average,2,Palisade,Large
459161,Male,1,50,1,Executive,3,High,5,Palisade,Large
459162,Female,1,83,1,Lawyer,0,High,2,Santape,Midsize
459163,Male,0,35,1,Entertainment,0,Low,1,Santape,Midsize
459167,Female,0,36,1,Artist,0,Low,2,Casper,Compact
459170,Female,0,35,1,Artist,1,Low,1,i10,Compact
459171,Male,1,35,1,Artist,0,Average,2,Santape,Midsize
459172,Male,0,18,0,Healthcare,3,Low,3,Casper,Compact
459175,Female,1,73,1,Artist,1,Average,2,Santape,Midsize
459181,Male,1,62,0,Artist,1,High,3,Palisade,Large
459182,Female,1,46,1,Artist,1,Average,2,Santape,Midsize
459184,Male,1,43,1,Entertainment,0,Low,4,Grandeur,Large
459185,Female,0,32,1,Entertainment,7,Low,1,Casper,Compact
459193,Male,0,39,1,Artist,0,Low,1,Santape,Midsize
459194,Female,1,89,1,Lawyer,0,High,2,Santape,Midsize
459196,Female,0,18,0,Healthcare,0,Low,3,Casper,Compact
459208,Female,1,57,1,Artist,0,High,2,Santape,Midsize
459209,Female,0,18,0,Entertainment,0,Low,4,i10,Compact
459210,Female,1,71,1,Artist,1,High,2,Santape,Midsize
459212,Female,1,69,1,Artist,0,Average,2,Santape,Midsize
459213,Female,0,42,1,Healthcare,0,Low,4,Santape,Midsize
459216,Female,0,36,1,Artist,0,Low,2,Casper,Compact
459220,Female,1,80,1,Lawyer,1,High,2,Santape,Midsize
459221,Male,1,69,0,Entertainment,,Low,1,Grandeur,Large
459222,Female,1,67,1,Artist,0,Average,3,Santape,Midsize
459223,Female,1,47,1,Doctor,1,Average,4,Santape,Midsize
459224,Female,1,49,1,Artist,0,Average,2,Santape,Midsize
459227,Female,1,32,0,Engineer,9,Low,4,Casper,Compact
459229,Female,1,65,1,Lawyer,1,Average,4,Santape,Midsize
459236,Female,1,78,0,Lawyer,0,High,2,Santape,Midsize
459237,Male,0,33,1,Artist,1,Low,6,Santape,Midsize
459244,Male,1,48,1,Artist,1,Low,1,Grandeur,Large
459247,Male,1,58,1,Executive,1,Average,5,Grandeur,Large
459258,Female,1,83,1,Lawyer,1,High,,Santape,Midsize
459263,Female,0,30,0,Healthcare,9,Low,4,i10,Compact
459264,Female,0,35,1,Artist,0,Low,2,Casper,Compact
459266,Male,0,32,1,Healthcare,6,Low,5,Santape,Midsize
459270,Male,1,69,1,Homemaker,1,High,2,Palisade,Large
459284,Female,1,71,1,Lawyer,1,High,2,Santape,Midsize
459287,Male,0,43,1,Lawyer,0,Low,1,Grandeur,Large
459288,Male,1,37,1,Artist,0,Low,2,Santape,Midsize
459289,Male,0,42,1,Doctor,0,Low,1,Grandeur,Large
459290,Female,1,70,1,Doctor,1,Average,2,Santape,Midsize
459292,Male,0,46,1,Artist,0,Low,2,Palisade,Large
